Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
PCT2	NIL			cholinephosphate cytidylyltransferase
UGT71A9	NIL			lignan glucosyltransferase
CYP716A12	NIL			&beta;-amyrin 28-oxidase
Pavir.3KG444700	Pavir.3KG444700			Pavir.3KG444700.4.p
ppo	NIL			polyphenol oxidase
D85186	NIL			anthocyanidin 3-O-glucosyltransferase
Soltu.DM.07G021410	Soltu.DM.07G021410			Soltu.DM.07G021410.1
str	NIL			strictosidine synthase
&delta;OAT	NIL			ornithine &delta;-aminotransferase
OsKS5				ent-pimara-8(14),15-diene synthase
AT1G19640	AT1G19640	6788876	6791837	S-adenosyl L-methionine:jasmonic acid carboxyl methyltransferase
NUOS4b		967874	970151	145512
AT1G13560	AT1G13560	4638511	4642101	aminoalcoholphosphotransferase
3MaT2	NIL			anthocyanidin 3-<i>O</i>-glucoside-3",6"-<i>O</i>-dimalonyltransferase
CUS				curcuminoid synthase
AT5G62530	AT5G62530	25116229	25120524	1-pyrroline-5-carboxylate dehydrogenase
AT1G72970	AT1G72970	27456427	27459625	aldehyde-lyase//mandelonitrile lyase
AS1	NIL			beta-amyrin synthase
IspS	NIL			isoprene synthase
AT3G47930	AT3G47930			L-gulono-1,4-lactone dehydrogenase / L-galactono-1,4-lactone dehydrogenase
AT5G57110	AT5G57110	23126665	23134789	calcium-transporting ATPase
Zm00001d016475	Zm00001d016475	163826847	163837823	pyrimidine reductase
AtATP-PRT2	AT1G09795	3173536	3176912	ATP-phosphoribosyl  transferase
CiGASlo	NIL			germacrene A synthase
TG1				flavonoid 3',5'-hydroxylase / flavonoid 3'-hydroxylase
Glyma.02G104900	Glyma.02G104900			Glyma.02G104900
POMT	NIL			phloroglucinol <i>O</i>-methyltransferase
BAM5	AT4G15210	8666338	8669470	beta-amylase
ChlADR	AT3G04000	1035507	1036679	aldehyde reductase (chloroplastic)
rbcL		122490	123917	ChreCp049
PEAMT	NIL			phosphoethanolamine N-methyltransferase
AT1G03630	AT1G03630	907641	909375	protochlorophyllide reductase//NADPH dehydrogenase
LC	NIL			limonene synthase
UGT73B4	AT2G15490	6768717	6770582	UDP-glucosyltransferase
tps23	NIL			(E)-beta-caryophyllene synthase
NUOB13		1076824	1078084	127639
CYP736A163				3-hydroxy-5-methoxybiphenyl 4-hydroxylase
HYDA1				Fe hydrogenase
SHT12	NIL			flavonoid 3'-hydroxylase
Seita.7G013300	Seita.7G013300			Seita.7G013300.1.p
PPD2	AT2G28605			PsbP domain-containing protein 2
PMDH2	AT5G09660	2993445	2995676	malate dehydrogenase
SGUS	NIL			baicalin-&beta;-D-glucuronidase monomer
ids-2	NIL			mugineic-acid 3-dioxygenase
AT5G23220	AT5G23220	7819819	7820679	nicotinamidase
7-DR2				&Delta;5,7-sterol-&Delta;7 reductase 2
CXE1	NIL			papaveroxine carboxylesterase
ASAT1				sucrose 4-<i>O</i>-acyltransferase
PCK1	AT4G37870	17802688	17806533	phosphoenolpyruvate carboxykinase
GAME12				furostanol 26-aldehyde transaminase
Glyma.09G082900	Glyma.09G082900			Glyma.09G082900
UDPGlcADCX1	NIL			UDP-glucuronate decarboxylase
CbEGS1	NIL			Cb-eugenol synthase
f-&delta;sel1	NIL			&delta;-selinene synthase
6G-FFT	NIL			6G-FFT
LOC_Os04g10010	LOC_Os04g10010	5366867	5367098	Momilactone A synthase 1
HMG1	AT1G76490	28700654	28703687	3-hydroxy-3-methylglutaryl coenzyme A reductase
GAME2				&beta;1-tomatine xylosyltransferase
fad8	AT5G05580			omega-3 fatty acid desaturase
STS2	NIL			subunit STS2
APR3	AT4G21990	11657020	11659117	APR3
AF139532	NIL			Coniferyl aldehyde 5-hydroxylase
TR-I	NIL			tropinone reductase
AT3G18000	AT3G18000	6154369	6157558	phosphoethanolamine N-methyltransferase
ASAT1				sucrose 4-<i>O</i>-acyltransferase
CASHT	NIL			serotonin N-hydroxycinnamoyltransferase
g-pin2	NIL			limonene/&alpha;-pinene synthase
psbT		79730	79825	Photosystem II reaction center protein T
OsHAK10	NIL			potassium transporter
5GT7	NIL			anthocyanidin 5-<i>O</i>-glucosyltransferase
CYP81Q2	NIL			(+)-piperitol/(+)-sesamin synthase
AT4G27440	AT4G27440	13725552	13727359	protochlorophyllide reductase
COX1	ATMG01360	349830	351413	complex IV subunit 1
Cre02.g085450	Cre02.g085450			coproporphyrinogen oxidase
FDH1	AT5G14780	4776946	4779497	formate dehydrogenase
HCBT1	NIL			anthranilate N-benzoyltransferase
J1H				jasmonoyl-amino acid conjugate hydrolase 1
Lj1g0015168	Lj1g0015168			Lj1g0015168.1
Pavir.9NG385700	Pavir.9NG385700			Pavir.9NG385700.1.p
CYP82D33	NIL			genkwanin 6-hydroxylase
rbcS3B	AT5G38410	15394403	15395646	RUBISCO small subunit
Lj6g0009500	Lj6g0009500			Lj6g0009500.1
CLS	NIL			copal-8-ol diphosphate synthase
CNL				cinnamate:CoA ligase
OSCBPW	NIL			lupeol synthase
OsFRO1	NIL			ferric chelate reductase
MTK1	NIL			MTR kinase
ACS12	AT5G51690	21014639	21018272	aspartate transaminase
alt8	Zm00001d007937	243428038	243433183	alanine transaminase
SDR1	AT3G61220	22673935	22675468	aldehyde reductase (cytosolic)
SPDS3	AT5G53120	21551776	21555042	spermine synthase
SQE2	AT2G22830	9730768	9733350	squalene epoxidase
AA7GT	NIL			anthocyanidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
Lj1g0003544	Lj1g0003544			Lj1g0003544.1
CYP80F1	NIL			littorine mutase
Bx4				3-hydroxyindolin-2-one monooxygenase
AT3G55630	AT3G55630	20647648	20650471	folylpolyglutamate synthase
AT5G22630	AT5G22630	7524345	7526163	arogenate dehydratase////prephenate dehydratase
AT2G38280	AT2G38280	16040526	16045954	AMP deaminase
AT5G46290	AT5G46290	18791313	18793962	fatty-acid synthase
Lj1g0015209	Lj1g0015209			Lj1g0015209.1
LAC17	AT5G60020.1			laccase
Glyma.19G187700	Glyma.19G187700			Glyma.19G187700
Lj5g0021768	Lj5g0021768			Lj5g0021768.1
SAD	NIL			sinapyl alcohol dehydrogenase
CYP71Z16	ZEAMMB73_Zm00001d014136			dolabradiene monooxygenase
FPS2	AT4G17190	9648538	9650923	geranyltranstransferase / dimethylallyltranstransferase
AT5G57190	AT5G57190	23188757	23192590	phosphatidylserine decarboxylase
GPPS-ssu	NIL			geranyl pyrophosphate synthase, small subunit
NUOB8	Cre16.g679500	1327216	1329206	149240
LePAR2	NIL			phenylacetaldehyde reductase
AT3G51840	AT3G51840	19236337	19240140	acyl-CoA oxidase
LHCBM5		571619	573918	Chlorophyll a-b binding protein of LHCII
AT1G20020	AT1G20020	6942708	6945007	NADPH dehydrogenase
FSD2	AT5G51100	20790522	20792927	iron superoxide dismutase
Y08611	NIL			HPPK/DHPS subunit
AKR4C8	AT2G37760	15838932	15840997	aldo-keto reductase family 4 member C8
AAT3	NIL			aspartate transaminase
AT4G11980	AT4G11980	7183644	7185569	ADP-sugar diphosphatase
NIT1	AT3G44310	15997851	16000090	Nit1
UGT71B8	AT3G21800	7680113	7681692	UDP-glycosyltransferase
PKp2	AT5G52920	21480764	21484106	pyruvate kinase, beta subunit
AT2G20610	AT2G20610	8885041	8887466	alkylthiohydroximate C-S lyase
AT5G64120	AT5G64120	25676532	25678228	peroxidase
NUOB12		625630	626199	54440
Glyma.17G019500	Glyma.17G019500			Glyma.17G019500
STGLS	NIL			ADP-glucose pyrophosphorylase small subunit
Zm00001d003869	Zm00001d003869	64103998	64104966	Zm00001d003869_T001.1
Pavir.7NG404900	Pavir.7NG404900			Pavir.7NG404900.2.p
AT5G26310	AT5G26310	9234688	9236388	UDP-glycosyltransferase//coniferyl-alcohol glucosyltransferase
PKS	NIL			&alpha; pyrone polyketide synthase
AT4G15340	AT4G15340	8754480	8760589	arabidiol synthase
AT2G45290	AT2G45290	18679756	18682980	transketolase 2
SPS1				sucrose phosphate synthase
psaD1				Photosystem I reaction center subunit II-1
CYP76M6	NIL			cytochrome P450 dependent <i>ent</i>-sandaracopimardiene 9&beta;-hydroxylase
GLT2	NIL			crocetin glucosyltransferase
KSL				multiradiene synthase
LHCBM7		1019246	1020943	Major light-harvesting complex II protein m7
PANB1	AT2G46110	18961643	18963603	ketopantoate hydroxymethyltransferase
Pavirv00006902m	NIL			sinapyl-alcohol dehydrogenase / Cynnamyl-alcohol dehydrogenase
SGT2	NIL			UDP-glucose glucotransferase
DHNAT2	AT5G48950			DHNA-CoA thioesterase
HSA&alpha;				HSA&alpha; subunit
Hf1	NIL			flavanone,NADPH:oxygen oxidoreductase / flavonoid 3',5'-hydroxylase
cysteine sulfoxide lyase	NIL			methiin lyase / cysteine sulfoxide lyase
HNL	NIL			(<i>S</i>)-hydroxynitrile lyase monomer
MTD				mannitol dehydrogenase
ATP3	NIL	357389	363381	194183
AT3G08610	AT3G08610	2615432	2616809	NADH-ubiquinone oxidoreductase MWFE subunit
GSTF9	AT2G30860	13146074	13147322	glutathione transferase//glutathione peroxidase
CYP71D16				cembratrienol 6-hydroxylase
ROMT-9	Os08g0157500			flavonoid 3',5'-<i>O</i>-methyltransferase 1
tps23	NIL			(E)-beta-caryophyllene synthase
AT4G13700	AT4G13700	7957068	7958915	purple acid phosphatase 23
EF685346.1	NIL			Cynnamyl-alcohol dehydrogenase
Soltu.DM.07G021500	Soltu.DM.07G021500			Soltu.DM.07G021500.1 // Soltu.DM.07G021500.2
atpF	NIL	131169	131696	ChreCp054
AO2	NIL			aldehyde oxidase
taxane 13&alpha;-hydroxylase	NIL			taxane 13alpha-hydroxylase
Lj1g0001393	Lj1g0001393			Lj1g0001393.1
IEMT1	NIL			IEMT1 subunit
Sb04g005950.1				Cynnamyl-alcohol dehydrogenase
PsbH	ATCG00710	74485	74706	PsbH
ICS	NIL			isochorismate synthase
ADC	NIL			arginine decarboxylase
AmBMT	NIL			bergaptol O-methyltransferase
AA5GT	NIL			anthocyanidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
COQ3	AT2G30920	13164210	13167009	hexaprenyldihydroxybenzoate methyltransferase
PPO	NIL			catechol oxidase
AT1G65590	AT1G65590	24389563	24394870	beta-N-acetylhexosaminidase
NCS1	NIL			norcoclaurine synthase
&beta;-OHase 1	AT4G25700	13093943	13095944	&beta;-ring hydroxylase
gtsatom				gentisate 5-<i>O</i>-&beta;-<i>D</i>-xylosyltransferase
PG	NIL			polygalacturonase
l13				L13
SMT2	AT1G20330	7038680	7040149	SMT2
CHLD	AT1G08520	2696415	2700962	magnesium chelatase//nucleoside-triphosphatase
AT4G16566	AT4G16566			adenylylsulfate sulfohydrolase / adenylylsulfate:phosophate adenylyltransferase
Os11g08569				parkeol synthase
BGLU1	NIL			dalcochinase
me2	Zm00001d037962	143657539	143663237	malate dehyrogenase NADP+ (oxaloacetate decarboxylating)
LCY1				chloroplastic/chromoplastic lycopene &beta; cyclase
MMR	NIL			menthol dehydrogenase
AT5G24770	AT5G24770	8500479	8502227	acid phosphatase
HvCOMT	NIL			N-methyl-3-aminomethylindole N-methyltransferase [multifunctional]
UGT74F2	AT2G43820			salicylic acid / benzoic acid glucosyltransferase
AT2G44160.1	AT2G44160.1	18269286	18272422	AT2G44160.1
SSIII	AT1G11720	3952511	3957044	soluble starch synthase III
MUR4	AT1G30620	10854531	10858226	UDP-arabinose 4-epimerase
LjContig00155g0005648	LjContig00155g0005648			LjContig00155g0005648.1
PSBP1		1227522	1229715	Oxygen-evolving enhancer protein 2 of photosystem II
Glyma.01G067100	Glyma.01G067100			Glyma.01G067100
CYP51	100736446			sterol C-14 demethylase
AO1	AT5G20960	7116740	7122776	AO1
AT5G63800	AT5G63800	25547281	25553075	beta-galactosidase
PPD4	AT1G77090			PsbP domain-containing protein 4
AT3G54840	AT3G54840	20329390	20331979	GTPase
pl-CHR	NIL			chalcone reductase
AT5G55810	AT5G55810	22601234	22603527	nicotinamide-nucleotide adenylyltransferase//nicotinate-nucleotide adenylyltransferase
PDX2	AT5G60540	24353849	24356028	glutaminase
PAO4	AT1G65840	24493443	24496687	polyamine oxidase
AT2G44050	AT2G44050	18231327	18233236	DMRL synthase
OMT	NIL			3,4-dihydroxybenzaldehyde-O-methyltransferase
KS1	AT1G79460	29895285	29899480	ent-kaurene synthase
AT4G32180	AT4G32180	15537565	15543910	pantothenate kinase
nad6		7953	8441	ChrepMp06
AT1G67550	AT1G67550	25316403	25321058	urease
LAC4	AT2G38080.1			laccase
AT3G48680	AT3G48680	18045996	18048021	NADH-ubiquinone oxidoreductase subunit//acyltransferase
GLN2	AT5G35630	13847659	13850772	glutamine synthetase, type II
HIDM	NIL			2,7,5-trihydroxy-4'-methoxyisoflavanone dehydratase [multifunctional]
ill2	AT5G56660	22950493	22952542	indole-3-acetyl-ala hydrolase
Cre09.g396600	Cre09.g396600			Fe hydrogenase
Soltu.DM.10G003650	Soltu.DM.10G003650			Soltu.DM.10G003650.1
AT5G43760	AT5G43760	17602990	17605824	fatty acid elongase
NUO13		198911	202077	193762
MPO1	NIL			N-methylputrescine oxidase
GAO1	NIL			germacrene A oxidase
ASAT3-F				sucrose acyltransferase
Glyma.07G254800	Glyma.07G254800			Glyma.07G254800
HEMC	AT5G08280	2663500	2665793	hydroxymethylbilane synthase
PatTpsBF2	NIL			germacrene D synthase
ilr1	AT3G02875	631920	634081	indole-3-acetyl-leu hydrolase
AT3G14050	AT3G14050			GTP diphosphokinase / alpha-N-arabinofuranosidase / xylan 1,4-beta-xylosidase
AT5G49970	AT5G49970	20346413	20350381	pyridoxamine-phosphate oxidase
NUOS6		249205	251104	188142
VTC1	AT2G39770	16595780	16598063	GDP-D-mannose pyrophosphorylase
SDH7B	AT5G62575.2	25134714	25136118	complex II subunit 7
peroxidase 2	NIL			flavonoid peroxidase 2
QCR8		570171	570910	158763
NUOS4		750636	753111	184606
chln	NIL			nicotianamine synthase
LjContig00503g0018580	LjContig00503g0018580			LjContig00503g0018580.1
CPS2				copal-8-ol diphosphate synthase
KOR	AT5G49720	20214617	20217514	1,4-beta-D-glucan 4-glucanohydrolase
5&alpha;-POR	NIL			5alpha-progesterone reductase
FAD2-1	NIL			trans-Delta12-oleic acid desaturase
HCAR	AT1G04620			7<sup>1</sup>-hydroxychlorophyll <i>a</i> reductase
Cre06.g294750	Cre06.g294750			Cre06.g294750.t1.1
AT1G67070	AT1G67070	25045798	25048306	mannose-6-phosphate isomerase
LjContig00155g0007092	LjContig00155g0007092			LjContig00155g0007092.1
6-SFT	NIL			6-SFT
CYP710A1	AT2G34500	14546558	14548485	C-22 sterol desaturase
VS1	NIL			vetispiradiene synthase
NCED3	AT3G14440	4831295	4833606	9-cis-epoxycarotenoid dioxygenase
rbcS1A	AT1G67090	25051821	25053087	RUBISCO small subunit
CYP93G1	Os04g0101400			flavone synthase II
ASA3	Cre07.g338050.t1.2	108704	112766	152682
PSY1	GRMZM2G300348			chloroplastic phytoene synthase
TRP6	AT1G07780	2410117	2412674	phosphoribosylanthranilate isomerase
AT1G15110	AT1G15110	5199013	5202170	CDP-diacylglycerol-serine O-phosphatidyltransferase
CYP93A1	NIL			3,9-dihydroxypterocarpan 6a-monooxygenase
UGT73C6	AT2G36790	15427269	15428945	UDP-glucose:flavonol-3-O-glycoside-7-O-glucosyltransferase
psaA				ChreCp019
estExt_gwp_1H.C_410048		65732	75831	131895
DHS2	AT4G33510	16116450	16118800	3-deoxy-7-phosphoheptulonate synthase
AT3G55800	AT3G55800	20720365	20722619	sedoheptulose-bisphosphatase
PcTps-EK	NIL			E-geraniol synthase
MIOX2	AT2G19800	8537978	8540590	myo-inositol oxygenase
AF138959	NIL			amorpha-4,11-diene synthase
AT1G69370	AT1G69370	26083619	26085390	chorismate mutase
LjContig00155g0000309	LjContig00155g0000309			LjContig00155g0000309.1
AIS1	NIL			T-anol/isoeugenol synthase
G-TMT	AT1G64970	24137748	24139772	delta-tocopherol methyltransferase [multifunctional]
Cre06.g267600	Cre06.g267600			Cre06.g267600.t1.1
GBS	NIL			germacrene B synthase
fad6	AT4G30950			omega-6 fatty acid desaturase
Glyma.06G239600	Glyma.06G239600			Glyma.06G239600
AF072736	NIL			coniferin beta-glucosidase
ACX	NIL			cycloartenol synthase
SPLCAT1	NIL			SPLCAT1 subunit 2
Cre09.g390615	Cre09.g390615			Cre09.g390615.t1.1
RcOMT3	NIL			3,5-dimethoxyphenol O-methyltransferase [multifunctional]
AT5G16390.1	AT5G16390.1	5360804	5363129	biotin carboxyl carrier protein
AT2G47730	AT2G47730	19565270	19566533	glutathione transferase
Glyma.19G187400	Glyma.19G187400			Glyma.19G187400
CYP719	NIL			canadine synthase
BAPT	NIL			phenylpropanoyltransferase
PLR1	NIL			pyridoxal reductase
NFS2	AT1G08490	2685662	2688598	selenocysteine lyase/cysteine desulfurase//transaminase
HCT2	NIL			malate O-hydroxycinnamoyl transferase
Glyma.07G254600	Glyma.07G254600			Glyma.07G254600
CYP82N4	NIL			(S)-cis-N-methylstylopine 14-hydroxylase/(S)-N-methylcanadine 14-hydroxylase
FK	AT3G52940	19641176	19644274	&Delta;14-sterol reductase
HMA3	AT4G30120			cadmium/zinc-transporting ATPase
PGT1	NIL			phloretin UDP-glycosyltransferase
Pavir.3NG231500	Pavir.3NG231500			Pavir.3NG231500.1.p
AT2G36230	AT2G36230	15200773	15202617	phosphoribosyl-formimino-5-aminoimidazole-4-carboxamide ribonucleotide isomerase
COX5C	Cre03.g157700	442712	444014	Cre03.g157700.t1.1
TOGT1	NIL			UDP-glucose:scopoletin O-&beta;-D-glucosyltransferase
DWF5	AT1G50430	18685600	18689318	sterol &Delta;<sup>7</sup> reductase
ATCG00490	ATCG00490	54958	56397	RUBISCO large subunit
THAS1	AT5G48010	19474186	19478915	thalianol synthase
AT3G09150	AT3G09150	2803533	2805593	phytochromobilin:ferredoxin oxidoreductase
cyp71E1				4-hydroxyphenylacetaldehyde oxime monooxygenase
ans	NIL			anthocyanidin synthase
ADH2	NIL			UDP-glucose dehydrogenase / alcohol dehydrogenase
ICS	NIL			isochorismate synthase
PMT	NIL			putrescine N-methyltransferase
Ip3GGT	NIL			anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase
AT1G31070	AT1G31070	11084840	11088544	N-acetylglucosamine-1-phosphate uridylyltransferase
AT4G37430	AT4G37430			CYP81F1 monooxygenase
D29812	NIL			3'-hydroxy-N-methylcoclaurine 4'-O-methyltransferase
SGT1	AT3G21560	7595812	7597583	sinapate-1-glucosyltransferase
AT1G06290	AT1G06290	1922351	1926277	acyl-CoA oxidase
AOX1	NIL			ubiquinone oxidase
APS4	AT5G43780	17606621	17608762	APS4
PsaI		1897341	1898907	Photosystem I reaction centre, subunit VIII
16OMT	NIL			16-hydroxytabersonine-O-methyltransferase
PfTps-PL	NIL			P-geraniol synthase
AT1G31190	AT1G31190	11144753	11146911	inositol-1(or 4)-monophosphatase / myo-inositol 1-phosphate monophosphatase
AtSOT16	AT1G74100	27868006	27869355	desulfoglucosinolate sulfotransferase
IMPDH	NIL			IMP dehygrogenase
ACS9	AT3G49700	18445455	18447126	1-aminocyclopropane-1-carboxylate synthase
SEX4	AT3G52180			glucan phosphatase
sbDES3				linoleoyl-CoA 15-desaturase / 9,12-cis-hexadecadienoic acid delta 15 desaturase
MOMT3	NIL			flavonol 3-<i>O</i>-methyltransferase
LHCA2		1024299	1027131	144609
LOX3	NIL			lipoxygenase
ATAO1	AT4G14940	8541875	8544562	putrescine oxidase
AT1G68280	AT1G68280			acyl-lipid thioesterase 4
ZmDMAS1				deoxymugineic acid synthase
AT3G60750	AT3G60750	22464694	22468127	transketolase 1
NAD1b	ATMG00516.1	143219	147048	NAD1b
GU563724.1	NIL			Cinnamyl alcohol dehydrogenase
PCS	NIL			PCS subunit
AT5G23300	AT5G23300	7847590	7850407	dihydroorotate dehydrogenase
Zm00001d028471	Zm00001d028471	35960441	35964750	phosphoenolpyruvate carboxykinase
GS-OX5	AT1G12140	4121367	4123540	glucosinolate S-oxygenase
MomoFADX	NIL			Delta12 fatty acid conjugase
ECS	NIL			gamma-glutamylcysteine synthetase
STS1	NIL			stachyose synthase [multifunctional]
AT4G22570	AT4G22570	11882137	11885432	adenine phosphoribosyltransferase
UGT75B1	AT1G05560	1645497	1647146	UDP-glucosyltransferase//abscisic acid glucosyltransferase//UDP-glucose:4-aminobenzoate acylglucosyltransferase
CYP81E1	NIL			isoflavone-2'-hydroxylase / isoflavone 2'-hydroxylase
TTS1	NIL			&beta;-amyrin synthase
ATPD	NIL	100408	102412	132678
FAR	NIL			fatty acyl-CoA reductase
CYP79B2	AT4G39950	18525240	18527573	CYP79B2
AT17	NIL			alcohol acyltransferase
BDS	NIL			BDS
Glyma.08G348600	Glyma.08G348600			Glyma.08G348600
AT2G23580	AT2G23580	10040123	10041407	methyl salicylate methylesterase
Soltu.DM.07G021460	Soltu.DM.07G021460			Soltu.DM.07G021460.1
AT4G02580	AT4G02580	1134467	1137156	NADH-ubiquinone oxidoreductase 24 kDa subunit
DTC1	NIL			ent-cassa-12,15-diene synthase
CURS1	NIL			curcumin synthase
AT2G23000	AT2G23000			AT2G23000
FaQR	NIL			enone oxidoreductase
PRK	AT1G32060	11532517	11534619	phosphoribulokinase
Peaxi162Scf00423g00119	Peaxi162Scf00423g00119			Peaxi162Scf00423g00119
AT5G43280	AT5G43280	17385116	17386627	delta3,5-delta2,4-dienoyl-CoA isomerase
SPIol;Bsas3;1	NIL			&beta;-cyano-L-alanine synthase
MIOX4	AT4G26260	13297707	13300379	myo-inositol oxygenase
PLMT	AT1G80860	30392927	30394194	phosphatidyl-N-methylethanolamine N-methyltransferase [multifunctional]
AT5G48545	AT5G48545			adenylysulfate sulfohydrolase
BgLUS	NIL			lupeol synthase
AT4G19680	AT4G19680			iron regulated transporter
CAHS	NIL			caryophyllene synthase / alpha-humulene synthase
OMT1				3,5-dihydroxybiphenyl <i>O</i>-methyltransferase
SULP1	Cre07.g348600.t1.3	1411028	1414899	128906
CSLC4	AT3G28180			AT3G28180
pgm II	NIL			StpPGM
CYP99A3				CYP99A3
IBR3	AT3G06810	2146341	2150837	IBA-CoA oxidase//acyl-CoA dehydrogenase
Fat	NIL			thioesterase
UBGAT	NIL			baicalein 7-<i>O</i>-glucuronosyltransferase monomer
AT2G27730	AT2G27730	11826906	11828955	NADH-ubiquinone oxidoreductase subunit
AT2G18800	AT2G18800	8151994	8153347	hydrolase, acting on glycosyl bonds
opr8	Zm00001d050107	66086547	66090296	12-oxophytodienoate reductase
FLS				flavonol synthase/flavanone 3-dioxygenase
AT3G10700	AT3G10700	3346583	3351028	galacturonic acid-1-phosphate kinase
Zm00001d003533	Zm00001d003533	47105187	47109372	linolenate lipoxygenase
Cre07.g342150	Cre07.g342150			glutamyl-tRNA reductase
Cre17.g698000	Cre17.g698000	1892559	1897334	Cre17.g698000.t1.1
IOMT8	NIL			isoflavone-7-O-methyltransferase
PHA3	NIL			plasma membrane H+-ATPase
CCS	NIL			capsanthin-capsorubin synthase
tat				tyrosine aminotransferase
CHS-A				naringenin-chalcone synthase
GLX2-2	AT3G10850	3397554	3399579	hydroxyacylglutathione hydrolase
PsbTc	ATCG00690	74082	74183	PSII-T subunit
cnx1	AT5G20990	7128477	7133478	molybdopterin adenylyltransferase / molybdopterin hydrolase
LUT1	AT3G53130	19703749	19708520	epsilon-ring hydroxylase
PKS1	NIL			aromatic polyketide synthase
ARS1				5-pentadecatrienylresorcinol synthase
Seita.6G068400	Seita.6G068400			Seita.6G068400.1.p
AT2G47240	AT2G47240	19399628	19404901	long-chain-fatty-acid-CoA ligase
FAB2	AT2G43710	18127033	18129966	stearoyl-CoA 9-desaturase
HEMF1	AT1G03475	869051	871212	coproporphyrinogen oxidase
RsM1	NIL			triterpene synthase
AT5G48100	AT5G48100	19506553	19509970	laccase
AT3G48000	AT3G48000	17727852	17731005	acetaldehyde dehydrogenase
TDC	NIL			tryptophan decarboxylase subunit
oasB	AT2G43750	18136488	18139629	cysteine synthase
enrA1	NIL			enoyl-[acp] reductase monomer
CYP90D1	AT3G13730			oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen
JusB7H	NIL			justicidin B 7-hydroxylase
PsbP	AT1G06680	2047826	2049417	PSII-P subunit
RNR2A	AT3G23580	8460052	8462822	ribonucleoside-diphosphate reductase small subunit A
AT5G51970	AT5G51970	21128671	21130629	oxidoreductase//oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor
CHR7	NIL			chalcone reductase
TH1	AT1G22940	8122340	8125057	HMP-P kinase//thiamin-monophosphate pyrophosphorylase
QCR7		1444871	1446207	77031
SAT4	AT4G35640	16905584	16908362	serine O-acetyltransferase
ATCG00130	ATCG00130			ATP synthase subunit b
AT3G63150	AT3G63150			GTPase
AADC1B	NIL			aromatic amino acid decarboxylase
AT3G25900	AT3G25900	9482070	9484163	homocysteine S-methyltransferase
Seita.7G145900	Seita.7G145900			Seita.7G145900.1.p
U60277	NIL			&Delta;9-acyl-ACP desaturase
OsMAS	NIL			momilactone A synthase
AT4G34510	AT4G34510	16491801	16493423	acyltransferase
Bx2				indole monooxygenase
AK-HSDH2	AT4G19710	10724865	10729778	aspartate kinase / homoserine dehydrogenase
PMT	NIL			putrescine N-methyltransferase
AT1G77590	AT1G77590	29153150	29156670	long-chain-fatty-acid-CoA ligase
estExt_gwp_1W.C_30616	NIL	220855	226090	134449
SDH2-2	AT5G40650.1	16298632	16300755	complex II subunit 2
AT5G55250	AT5G55250	22424699	22428170	indole-3-acetate carboxyl methyltransferase
AT1G80460	AT1G80460	30251637	30254197	glycerol kinase//carbohydrate kinase
GLX2-1	AT2G43430	18042446	18045332	hydroxyacylglutathione hydrolase
Lj5g0020897	Lj5g0020897			Lj5g0020897.1
AT2G41540	AT2G41540	17333175	17335980	glycerol-3-phosphate dehydrogenase (NAD+)
AT1G08250	AT1G08250	2588854	2590298	arogenate dehydratase
ATPvF		287669	289167	182533
FOX1	AT1G26380			2-hydroxy-2-(1H-indol-3-yl)acetonitrile oxidase
Glyma.19G187600	Glyma.19G187600			Glyma.19G187600
CaMXMT2	NIL			theobromine synthase
AT5G23960	AT5G23960	8092972	8095131	alpha-copaene synthase [multifunctional]
NAR1.3		348822	357078	194337
f-&gamma;hum	NIL			&gamma;-humulene synthase
Lj4g0004361	Lj4g0004361			Lj4g0004361.1
GDH	AT5G06580	2011289	2016540	D-lactate dehydrogenase
CYP71D18	NIL			(-)-(4S)-Limonene-6-hydroxylase // (-)-limonene-6-hydroxylase
APR2	AT1G62180	22979195	22981267	APR2
AT5G43940	AT5G43940	17701418	17703755	formaldehyde dehydrogenase (glutathione)//S-nitrosoglutathione reductase//S-(hydroxymethyl)glutathione dehydrogenase
LHCBM1		533822	535669	Chlorophyll a-b binding protein of LHCII
CYP86A2	AT4G00360	160768	163023	fatty acid &omega;-hydroxylase
UGT71C5	AT1G07240	2223690	2225451	UDP-glycosyltransferase
PsbO-1	AT5G66570	26585879	26587504	PSII-O subunit
TPS3	NIL			(E)-gamma-bisabolene synthase
HGGT	NIL			homogentisate geranylgeranyl transferase
ROMT	NIL			resveratrol O-methyltransferase
UGT73B2	AT4G34135	16345285	16347137	flavonol 3-O-glucosyltransferase
Zm00001d026277	Zm00001d026277	142707254	142721455	coproporphyrinogen oxidase
AT1G23020	AT1G23020	8150075	8153346	ferric-chelate reductase
Zm00001d033222	Zm00001d033222	255021507	255023321	Zm00001d033222_T001.1
AT3G55440	AT3G55440	20564667	20567537	triose-phosphate isomerase
aga2	NIL			alkaline alpha-galactosidase
oomt1	NIL			orcinol O-methyltransferase
